iter	MultiClass
0	1.193915209
1	1.062918777
2	0.9698084231
3	0.8285049267
4	0.7401339915
5	0.6819753765
6	0.6096137674
7	0.5590520245
8	0.5205406218
9	0.493892631
10	0.4750966751
11	0.4594897187
12	0.4479545103
13	0.4403012394
14	0.4292458522
15	0.4238128625
16	0.4157641122
17	0.4028624541
18	0.3977439436
19	0.3913307221
20	0.3864526277
21	0.3819384472
22	0.3743099888
23	0.3684617967
24	0.364128316
25	0.3591871504
26	0.3554572795
27	0.3537926893
28	0.3483204185
29	0.3429012604
30	0.3388834197
31	0.3375892995
32	0.3328724397
33	0.3292285506
34	0.3270101952
35	0.3240683706
36	0.3216070562
37	0.3180861166
38	0.3128816281
39	0.3117582273
40	0.308938652
41	0.3064571147
42	0.3044690542
43	0.3027626509
44	0.2984917364
45	0.2959468634
46	0.2942935316
47	0.2925976473
48	0.2908209698
49	0.2896489766
50	0.2877351501
51	0.2866486285
52	0.2841679788
53	0.2814036326
54	0.27979552
55	0.278063659
56	0.2766904051
57	0.2756098688
58	0.273221593
59	0.2702944871
60	0.2681456873
61	0.2668519335
62	0.2644563941
63	0.2620341263
64	0.2601563682
65	0.2568696855
66	0.255270687
67	0.2530505512
68	0.2500009506
69	0.2485826873
70	0.2474989617
71	0.2461422323
72	0.2443419447
73	0.2420780228
74	0.24136216
75	0.2396732727
76	0.2384780808
77	0.2378302801
78	0.2369708633
79	0.2357420831
80	0.2327779237
81	0.2314039187
82	0.2296221202
83	0.2268814727
84	0.2244256744
85	0.2231705523
86	0.2213381207
87	0.2192068055
88	0.2180361924
89	0.2167904141
90	0.2153476227
91	0.2136364955
92	0.2122672558
93	0.2108055856
94	0.2097065413
95	0.2076460228
96	0.2058851377
97	0.2043848621
98	0.203837837
99	0.2034771926
100	0.2021484549
101	0.2015046703
102	0.1990540359
103	0.1973925678
104	0.1964688971
105	0.1952511593
106	0.1942361222
107	0.1933084691
108	0.192177081
109	0.190680007
110	0.1898485486
111	0.1886008537
112	0.1873674774
113	0.1864490757
114	0.1852586426
115	0.1849817605
116	0.1845656559
117	0.1834760027
118	0.1820465645
119	0.1812203099
120	0.1800510641
121	0.1795639693
122	0.1780416853
123	0.1763148239
124	0.1754504957
125	0.1749892813
126	0.1743187794
127	0.1737509325
128	0.1724324475
129	0.1716434786
130	0.1705554127
131	0.1699415749
132	0.1682671263
133	0.1672530769
134	0.1665513908
135	0.1656609785
136	0.1648497723
137	0.1641278083
138	0.1631206257
139	0.1623233327
140	0.1615749662
141	0.1608362185
142	0.1589983952
143	0.1579648108
144	0.1573729775
145	0.1568650533
146	0.1563524559
147	0.1552578441
148	0.1544811435
149	0.1535457413
150	0.1526434629
151	0.1518347572
152	0.1512066847
153	0.1504228854
154	0.1497683999
155	0.1491533686
156	0.1486119423
157	0.14753506
158	0.1467752932
159	0.1461148429
160	0.1450553542
161	0.1443590675
162	0.1440726128
163	0.1437858998
164	0.1431638338
165	0.1426572249
166	0.1422487098
167	0.1412612408
168	0.140431524
169	0.1401457969
170	0.1396438737
171	0.1386874721
172	0.1382460432
173	0.1378981072
174	0.1373633852
175	0.1362551551
176	0.13590498
177	0.1351797766
178	0.1346704693
179	0.1341711894
180	0.1336317127
181	0.1333551249
182	0.1329075191
183	0.1317554885
184	0.1316496134
185	0.1311212849
186	0.1306726138
187	0.1301704516
188	0.1298308972
189	0.1287020726
190	0.1282382138
191	0.1279594092
192	0.1272579366
193	0.1269266571
194	0.1265286574
195	0.1257122611
196	0.1252339163
197	0.1243420894
198	0.123974655
199	0.1232540586
200	0.1226748854
201	0.1219442791
202	0.1215562235
203	0.1210697884
204	0.1202832369
205	0.1199942485
206	0.1195259848
207	0.1186712795
208	0.1184523194
209	0.1177331614
210	0.1173713622
211	0.1169907292
212	0.1164384884
213	0.1159144415
214	0.1154609178
215	0.1150296908
216	0.1144512701
217	0.113485926
218	0.1128693323
219	0.1125639814
220	0.1121762971
221	0.1117422998
222	0.1115744731
223	0.1111693545
224	0.1106508314
225	0.1104397704
226	0.1100788591
227	0.1095925721
228	0.1090956316
229	0.1086169807
230	0.1081618126
231	0.1078519577
232	0.1074853985
233	0.1072298396
234	0.1064907678
235	0.1060814823
236	0.1053364205
237	0.1046708085
238	0.1043615533
239	0.103978651
240	0.1036258066
241	0.1033970346
242	0.1029415207
243	0.1025232285
244	0.1021967842
245	0.1020208993
246	0.1016448815
247	0.1011546251
248	0.1010014887
249	0.1007090821
250	0.1004288745
251	0.1000050287
252	0.0996063331
253	0.09918491883
254	0.0987123564
255	0.09827871266
