iter	Passed	Remaining
0	49	12668
1	60	7675
2	67	5651
3	71	4533
4	77	3914
5	83	3465
6	92	3305
7	100	3126
8	111	3064
9	118	2918
10	124	2768
11	130	2646
12	135	2528
13	140	2429
14	147	2365
15	150	2253
16	158	2226
17	164	2174
18	169	2113
19	175	2065
20	180	2019
21	188	2004
22	193	1961
23	200	1934
24	208	1922
25	213	1886
26	220	1868
27	225	1833
28	231	1811
29	239	1800
30	244	1775
31	249	1749
32	255	1725
33	263	1721
34	269	1699
35	274	1675
36	279	1654
37	284	1633
38	289	1612
39	294	1589
40	300	1573
41	305	1557
42	311	1542
43	316	1523
44	321	1508
45	326	1492
46	331	1476
47	337	1460
48	342	1448
49	347	1432
50	353	1418
51	358	1404
52	363	1390
53	368	1377
54	373	1364
55	378	1351
56	383	1340
57	389	1329
58	394	1318
59	399	1306
60	405	1295
61	409	1282
62	415	1271
63	420	1261
64	425	1249
65	430	1240
66	435	1229
67	441	1219
68	446	1209
69	452	1201
70	457	1191
71	463	1184
72	469	1176
73	475	1168
74	481	1162
75	487	1153
76	492	1144
77	498	1137
78	503	1128
79	508	1118
80	515	1112
81	520	1103
82	525	1095
83	532	1090
84	538	1083
85	545	1079
86	552	1073
87	558	1066
88	564	1059
89	572	1055
90	578	1048
91	584	1042
92	590	1035
93	599	1032
94	605	1025
95	611	1018
96	617	1012
97	623	1004
98	631	1001
99	636	993
100	642	986
101	648	979
102	653	971
103	659	964
104	665	957
105	670	949
106	676	942
107	682	934
108	687	927
109	693	919
110	697	911
111	702	903
112	707	895
113	712	887
114	717	880
115	723	872
116	728	865
117	733	857
118	738	849
119	745	845
120	751	838
121	757	831
122	762	824
123	768	818
124	774	811
125	782	807
126	792	804
127	804	804
128	816	803
129	828	802
130	839	800
131	849	798
132	859	795
133	870	792
134	879	788
135	891	786
136	900	782
137	908	777
138	921	775
139	937	777
140	948	773
141	958	769
142	973	769
143	982	764
144	993	760
145	1004	756
146	1016	753
147	1027	750
148	1041	748
149	1050	742
150	1062	739
151	1072	734
152	1082	728
153	1093	724
154	1102	718
155	1113	713
156	1122	708
157	1136	704
158	1145	698
159	1156	693
160	1166	688
161	1175	682
162	1186	676
163	1193	669
164	1201	662
165	1212	657
166	1220	650
167	1229	643
168	1241	639
169	1254	634
170	1272	632
171	1281	625
172	1290	619
173	1302	613
174	1313	607
175	1327	603
176	1345	600
177	1356	594
178	1376	592
179	1388	586
180	1399	579
181	1411	573
182	1423	568
183	1438	562
184	1453	557
185	1463	550
186	1482	546
187	1500	542
188	1515	537
189	1529	531
190	1543	525
191	1563	521
192	1600	522
193	1616	516
194	1628	509
195	1636	501
196	1645	492
197	1661	486
198	1671	478
199	1684	471
200	1697	464
201	1711	457
202	1742	454
203	1762	449
204	1775	441
205	1790	434
206	1802	426
207	1814	418
208	1824	410
209	1833	401
210	1843	393
211	1851	384
212	1856	374
213	1865	366
214	1883	359
215	1894	350
216	1904	342
217	1911	333
218	1919	324
219	1927	315
220	1935	306
221	1941	297
222	1949	288
223	1955	279
224	1966	270
225	1973	261
226	1979	252
227	1986	243
228	1993	234
229	2000	226
230	2007	217
231	2013	208
232	2022	199
233	2031	190
234	2040	182
235	2048	173
236	2054	164
237	2062	156
238	2069	147
239	2075	138
240	2081	129
241	2087	120
242	2093	112
243	2099	103
244	2105	94
245	2111	85
246	2117	77
247	2124	68
248	2130	59
249	2140	51
250	2152	42
251	2159	34
252	2168	25
253	2174	17
254	2181	8
255	2187	0
